"user_id","vis_type","model_type","color_ramp_index","target_value","selected_value","aesthetic_rating","trial_number"
"12","heatmap","engagement","0","8","8","0","21"
"12","choropleth","kmeans","13","6","5","0","22"
"12","scatter","bayesian","12","5","5","0","23"
"12","scatter","designer","2","2","2","0","24"
"12","choropleth","bayesian","6","2","3","0","25"
"12","scatter","linear","12","2","2","0","26"
"12","choropleth","designer","5","8","8","0","27"
"12","scatter","kmeans","8","1","1","0","28"
"12","scatter","engagement","0","8","8","0","29"
"12","scatter","linear","6","5","3","0","30"
"12","heatmap","bayesian","0","4","4","0","31"
"12","choropleth","engagement","0","8","8","0","32"
"12","scatter","bayesian","19","6","6","0","33"
"12","scatter","linear","11","0","0","0","34"
"12","heatmap","kmeans","0","1","1","100","35"
"12","scatter","kmeans","5","7","7","0","36"
"12","heatmap","bayesian","10","3","4","0","37"
"12","choropleth","designer","22","7","6","0","38"
"13","heatmap","designer","8","8","7","-41","0"
"13","heatmap","bayesian","22","6","6","-28","1"
"13","heatmap","linear","5","6","7","-27","2"
"13","choropleth","linear","3","7","7","0","3"
"13","choropleth","linear","26","5","5","0","4"
"13","scatter","designer","4","3","4","0","5"
"13","choropleth","designer","6","1","1","0","6"
"13","scatter","engagement","0","8","8","0","7"
"13","choropleth","bayesian","10","1","2","23","8"
"13","choropleth","engagement","0","8","8","15","9"
"13","scatter","designer","17","1","3","0","10"
"13","scatter","kmeans","3","2","3","0","11"
"13","heatmap","engagement","0","8","8","18","12"
"13","heatmap","designer","22","4","7","0","13"
"13","scatter","bayesian","18","2","3","14","14"
"13","choropleth","bayesian","20","0","0","0","15"
"13","heatmap","bayesian","4","6","7","0","16"
"13","scatter","kmeans","16","1","2","0","17"
"13","heatmap","designer","24","3","4","-27","18"
"13","choropleth","kmeans","5","1","2","0","19"
"13","heatmap","kmeans","17","6","7","0","20"
"13","heatmap","kmeans","4","4","6","0","21"
"13","heatmap","linear","4","1","3","0","22"
"13","heatmap","kmeans","15","2","3","0","23"
"13","heatmap","bayesian","6","2","3","0","24"
"13","choropleth","kmeans","0","3","2","12","25"
"13","choropleth","kmeans","11","6","4","18","26"
"13","scatter","kmeans","13","1","3","0","27"
"13","choropleth","designer","7","4","5","0","28"
"13","scatter","bayesian","7","2","4","0","29"
"13","choropleth","linear","19","5","6","0","30"
"13","scatter","linear","20","4","1","-32","31"
"13","scatter","designer","20","2","3","0","32"
"13","choropleth","designer","10","0","1","0","33"
"13","scatter","linear","1","2","4","0","34"
"13","heatmap","linear","8","7","6","0","35"
"13","choropleth","bayesian","23","4","5","0","36"
"13","scatter","bayesian","13","8","8","0","37"
"13","scatter","linear","11","3","3","0","38"
"14","choropleth","kmeans","9","2","2","0","0"
"14","choropleth","bayesian","2","6","6","0","1"
"14","scatter","bayesian","25","8","8","0","2"
"14","choropleth","kmeans","11","6","5","0","3"
"14","heatmap","kmeans","14","7","7","0","4"
"14","scatter","engagement","0","8","8","0","5"
"14","scatter","linear","10","3","3","0","6"
"14","choropleth","designer","5","1","1","0","7"
"14","scatter","kmeans","24","2","2","0","8"
"14","choropleth","bayesian","4","3","3","0","9"
"14","heatmap","engagement","0","8","8","0","10"
"14","choropleth","designer","14","1","1","0","11"
"14","scatter","bayesian","19","5","5","0","12"
"14","heatmap","linear","1","2","3","0","13"
"14","heatmap","kmeans","13","0","1","0","14"
"14","heatmap","linear","12","7","6","0","15"
"14","choropleth","kmeans","5","8","8","0","16"
"14","choropleth","designer","7","3","4","0","17"
"14","scatter","linear","25","6","5","0","18"
"14","choropleth","linear","18","0","0","0","19"
"14","heatmap","kmeans","25","3","4","0","20"
"14","heatmap","designer","21","2","2","0","21"
"14","choropleth","engagement","0","8","8","0","22"
"14","choropleth","linear","9","1","1","0","23"
"14","choropleth","linear","15","4","3","0","24"
"14","scatter","bayesian","14","1","1","0","25"
"14","scatter","designer","18","6","4","0","26"
"14","scatter","kmeans","20","6","5","0","27"
"14","heatmap","linear","14","1","2","0","28"
"14","heatmap","bayesian","18","6","7","0","29"
"14","heatmap","bayesian","17","7","7","0","30"
"14","scatter","linear","26","3","4","0","31"
"14","heatmap","designer","23","8","8","0","32"
"14","scatter","kmeans","3","8","8","0","33"
"14","scatter","designer","25","4","4","0","34"
