InstutionName	City	Tuition	InstitutionType
Emperor's College of Traditional Oriental Medicine	Santa Monica		Private
Empire College	Santa Rosa	15187	Private
Evergreen Valley College	San Jose	10056	Public
Fashion Institute of Design & Merchandising-Los Angeles	Los Angeles	40553	Private
Fashion Institute of Design & Merchandising-San Francisco	San Francisco	37480	Private
Fashion Institute of Design & Merchandising-Orange County	Irvine	35547	Private
Feather River Community College District	Quincy	9262	Public
Federico Beauty Institute	Sacramento	16219	Private
Fielding Graduate University	Santa Barbara		Private
Five Branches University	Santa Cruz		Private
Redondo Beach Beauty College	Redondo Beach		Private
Foothill College	Los Altos Hills	4640	Public
Franciscan School of Theology	Oceanside		Private
Fredrick and Charles Beauty College	Eureka	10107	Private
Fresno City College	Fresno	4503	Public
Fresno Pacific University	Fresno	18920	Private
Fuller Theological Seminary in California	Pasadena		Private
Fullerton College	Fullerton	6456	Public
Gavilan College	Gilroy	6140	Public
Gemological Institute of America-Carlsbad	Carlsbad	28659	Private
Glendale Community College	Glendale	3057	Public
Glendale Career College	Glendale	19513	Private
Golden Gate University-San Francisco	San Francisco		Private
Golden West College	Huntington Beach	8342	Public
Graduate Theological Union	Berkeley		Private
Grossmont College	El Cajon	1374	Public
Salon Success Academy-Riverside	Riverside	11440	Private
Hartnell College	Salinas	8624	Public
Harvey Mudd College	Claremont	26865	Private
Heald College-Rancho Cordova	Rancho Cordova	17933	Private
Heald College-Fresno	Fresno	16771	Private
Heald College-San Jose	Milpitas	18943	Private
Heald College-San Francisco	San Francisco	20914	Private
Heald College-Concord	Concord	20224	Private
Hilltop Beauty School	Daly City	11681	Private
Holy Names University	Oakland	26721	Private
Pacifica Graduate Institute	Carpinteria		Private
Humboldt State University	Arcata	13434	Public
Humphreys College-Stockton and Modesto Campuses	Stockton	17094	Private
Imperial Valley College	Imperial	2815	Public
Institute for Business and Technology	Santa Clara	25181	Private
Interior Designers Institute	Newport Beach		Private
Toni & Guy Hairdressing Academy-Santa Monica	Santa Monica	15823	Private
Irvine Valley College	Irvine	10944	Public
ITT Technical Institute-National City	National City	23517	Private
ITT Technical Institute-San Dimas	San Dimas	22329	Private
ITT Technical Institute-Orange	Orange	23117	Private
Bellus Academy-El Cajon	El Cajon	29085	Private
John F. Kennedy University	Pleasant Hill		Private
American Jewish University	Los Angeles	36293	Private
Reedley College	Reedley	3335	Public
Life Pacific College	San Dimas	19702	Private
Argosy University-The Art Institute of California-San Diego	San Diego	26005	Private
University of La Verne	La Verne	22696	Private
Laguna College of Art and Design	Laguna Beach	31033	Private
Lake Tahoe Community College	South Lake Tahoe	5072	Public
Lancaster Beauty School	Lancaster	14588	Private
Laney College	Oakland	7443	Public
Lassen Community College	Susanville	5782	Public
Life Chiropractic College West	Hayward		Private
Lincoln University	Oakland	15080	Private
Southern California Seminary	El Cajon	35051	Private
La Sierra University	Riverside	22899	Private
Loma Linda University	Loma Linda		Private
Long Beach City College	Long Beach	4741	Public
Southern California University of Health Sciences	Whittier		Private
Los Angeles Harbor College	Wilmington	8666	Public
Los Angeles Pierce College	Woodland Hills	7591	Public
Los Angeles Southwest College	Los Angeles	6156	Public
Los Angeles Trade Technical College	Los Angeles	5343	Public
Los Angeles Valley College	Valley Glen	7503	Public
The Master's College and Seminary	Santa Clarita	24316	Private
Los Angeles City College	Los Angeles	6021	Public
Los Angeles County College of Nursing and Allied Health	Los Angeles		Private
Los Angeles Mission College	Sylmar	7549	Public
Los Medanos College	Pittsburg	8321	Public
Argosy University-The Art Institute of California-San Francisco	San Francisco	27273	Private
Loyola Marymount University	Los Angeles	38019	Private
Lu Ross Academy	Ventura	15757	Private
Manchester Beauty College	Fresno	8974	Private
Tulare Beauty College	Tulare	6251	Private
Lyles Fresno College of Beauty	Fresno	14355	Private
Lytles Redwood Empire Beauty College Inc	Santa Rosa	13752	Private
MTI Business College Inc	Stockton	19771	Private
MTI College	Sacramento	14501	Private
Brightwood College-Sacramento	Sacramento	23681	Private
Brightwood College-San Diego	San Diego	23755	Private
Brightwood College-Vista	Vista	24754	Private
College of Marin	Kentfield	7862	Public
Marinello Schools of Beauty-Los Angeles	Los Angeles	11763	Private
Marymount California University	Rancho Palos Verdes	24028	Private
Mendocino College	Ukiah	8237	Public
Menlo College	Atherton	28139	Private
Merced College	Merced	9236	Public
Merritt College	Oakland	9824	Public
Mills College	Oakland	25161	Private
MiraCosta College	Oceanside	5434	Public
Marinello Schools of Beauty-San Francisco	San Francisco	11343	Private
Mission College	Santa Clara	7212	Public
Modern Beauty Academy	Oxnard	9575	Private
Brightwood College-North Hollywood	North Hollywood	21056	Private
