InstutionName	City	Tuition	InstitutionType
Fortis Institute-Lawrenceville	Lawrenceville	17533	Private
Relay Graduate School of Education	New York		Private
Brown Mackie College-Oklahoma City	Oklahoma City	18192	Private
Miller-Motte Technical College-Macon	Macon	19193	Private
Miller-Motte Technical College-Gulfport	Gulfport	19395	Private
International Culinary Center-California	Campbell	39204	Private
South University-Savannah Online	Savannah	21493	Private
Fortis College-Montgomery	Montgomery	22263	Private
Miller-Motte Technical College-Roanoke	Roanoke	19240	Private
Whitworth University-Adult Degree Programs	Spokane		Private
American Broadcasting School-Online Program	Oklahoma City	10084	Private
Springfield College-School of Professional and Continuing Studies	Springfield		Private
Marian Health Careers Center-Van Nuys Campus	Van Nuys	20767	Private
Sanford-Brown College-Brooklyn Center	Brooklyn Center	21309	Private
Milan Institute-Las Vegas	Las Vegas	19908	Private
Virginia College-Savannah	Savannah	16826	Private
Virginia College-Columbus	Columbus	16490	Private
Donna's Academy of Hair Design	Smithville	10355	Private
New York School of Esthetics & Day Spa	Tarrytown	13888	Private
Panache Academy of Beauty	Baraboo	10688	Private
ASI Career Institute	Turnersville	11518	Private
Midwest Technical Institute-Ridgeland	Ridgeland	21284	Private
Christine Valmy International School of Esthetics & Cosmetology	Pine Brook	13499	Private
City College-Hollywood	Hollywood	23579	Private
Paul Mitchell the School-Arlington	Arlington	17107	Private
Rocky Mountain University of Health Professions	Provo		Private
MediaTech Institute-Oceanside	Oceanside	33238	Private
Christie's Education	New York		Private
Prince Institute-Great Lakes	Elmhurst	20346	Private
Palmetto Beauty School	Spartanburg	19226	Private
Paul Mitchell the School-Fort Myers	Fort Myers	13585	Private
Paul Mitchell The School-Raleigh	Raleigh	15554	Private
Stella and Charles Guttman Community College	New York	3621	Public
Lil Lou's Barber College	Gary	8214	Private
Bryan University	Columbia	16481	Private
Virginia College-Tulsa	Tulsa	15336	Private
Criswell College	Dallas	18847	Private
Virginia College-Knoxville	Knoxville	16863	Private
Columbia Academy of Cosmetology	West Columbia	27855	Private
Academy of Couture Art	Beverly Hills	28945	Private
Global Institute	Caguas	5638	Private
Reflections Academy of Beauty	Decatur	10879	Private
University of Cosmetology Arts & Sciences-La Joya	La Joya	9583	Private
Preferred College of Nursing-Van Nuys	Van Nuys	11494	Private
Bryant & Stratton College-Akron	Copley	16240	Private
Annenberg School of Nursing	Reseda	18330	Private
American Medical Academy	Miami		Private
Chamberlain College of Nursing-Georgia	Atlanta	30176	Private
Chamberlain College of Nursing-Indiana	Indianapolis	26339	Private
Carrington College-Mesquite	Mesquite	17690	Private
Sessions College for Professional Design	Tempe	12352	Private
Virginia College-Shreveport Bossier City	Bossier City	17644	Private
Tulsa Welding School-Jacksonville	Jacksonville	20967	Private
Regency Beauty Institute-Hoover	Hoover	19493	Private
Regency Beauty Institute-San Antonio	San Antonio	19152	Private
Regency Beauty Institute-Carrollwood	Tampa	22044	Private
Regency Beauty Institute-Clearwater	Clearwater	22755	Private
Regency Beauty Institute-Newport News	Newport News	20066	Private
Regency Beauty Institute-Lewisville	Lewisville	19272	Private
Regency Beauty Institute-Dallas	Dallas	19522	Private
Regency Beauty Institute-Plano	Plano	20898	Private
Empire Beauty School-Virginia Beach	Virginia Beach	14192	Private
Ross Medical Education Center-Morgantown	Morgantown	18101	Private
Paul Mitchell the School-Ogden	Ogden	14509	Private
Everest Institute-Bensalem	Bensalem	22236	Private
Golf Academy of America-Farmers Branch	Farmers Branch	22626	Private
Utah College of Massage Therapy-Dallas	Richardson	19116	Private
Miami Ad School-New York	Astoria		Private
Dade Medical College-West Palm Beach	West Palm Beach	21986	Private
Dade Medical College-Jacksonville	Jacksonville	21134	Private
WestMed College	San Jose	27314	Private
Larry's Barber College	Chicago	8015	Private
Futura Career Institute	Hialeah	9139	Private
Access Careers	Brooklyn		Private
Flair Beauty College	Canyon Country	8081	Private
Eternity Cosmetology School	West Palm Beach	12471	Private
Tri-State Institute of Hair Design	London	17110	Private
Vogue College of Cosmetology-San Antonio Fredericksburg	San Antonio	13091	Private
Vogue College of Cosmetology	San Antonio	9236	Private
Tomorrow's Image Barber Academy of Virginia	Newport News	11684	Private
Excel Learning Center	El Paso	11921	Private
College of International Esthetics Inc	Arvada	15767	Private
Medical Allied Career Center	Santa Fe Springs	24198	Private
Bais HaMedrash and Mesivta of Baltimore	Baltimore	10675	Private
Long Island Barber Institute	Hempstead	13884	Private
Salon Institute-Toledo Campus	Toledo	14827	Private
American Institute of Medical Sonography	Las Vegas	32117	Private
Curve Metric School of Hair Design	Elmwood Park	4361	Private
Athena Career Academy	Toledo	19814	Private
Yeshiva Gedolah Zichron Leyma	Linden	2450	Private
The Barber School	Midvale	14758	Private
Be'er Yaakov Talmudic Seminary	Spring Valley	5784	Private
RGV Careers	Pharr	18750	Private
Alexander Academy	Fitchburg	21629	Private
LeMelange Academy of Hair	Napa		Private
Aveda Institute-Tucson	Tucson	15019	Private
Velvet Touch Academy of Cosmetology	Nampa	12583	Private
Ambiance Beauty & Barber Academy Inc	Melbourne	18840	Private
Diamond Beauty College	South El Monte		Private
Unitek College	South San Francisco		Private
University Academy of Hair Design	Northport	8961	Private
Florida Institute of Recording Sound and Technology	Orlando		Private
New Dimensions Beauty Academy Inc	Parker	13929	Private
Jolei's Hair Institute	LAKE CITY	10145	Private
Paul Mitchell the School-Reno	Reno	16463	Private
Boise Barber College	Boise	14954	Private
Austin Kade Academy	Idaho Falls	14811	Private
Aesthetic Science Institute	Latham	8172	Private
Elaine Sterling Institute	Sandy Springs	27945	Private
Wade Gordon Hairdressing Academy	Amarillo	20010	Private
Mitsu Sato Hair Academy	Overland Park	12587	Private
SAE Institute of Technology-Los Angeles	Los Angeles	30054	Private
Florida Vocational Institute	Miami		Private
SAE Institute of Technology-Atlanta	Atlanta	22598	Private
Academy di Firenze	Jerome	8991	Private
SAE Institute of Technology-Miami	North Miami Beach	20298	Private
Colorado State University-Global Campus	Greenwood Village		Private
Paul Mitchell the School-Overland Park	Overland Park	14312	Private
Medspa Academies	South Jordan	13150	Private
Brighton Institute of Cosmetology	Brighton	7598	Private
West Coast University-Dallas	Dallas	40773	Private
Stevens-Henager College	St. George	23199	Private
National American University-Bellevue	Bellevue		Private
National American University-Burnsville	Burnsville		Private
National American University-Mesquite	Mesquite		Private
Empire Beauty School-Savannah	Savannah	13855	Private
Ogle School Hair Skin Nails-Denton	Denton	17421	Private
Empire Beauty School-West Greensboro	Greensboro	14060	Private
California College San Diego	San Marcos	24416	Private
Old Town Barber College-Topeka	Topeka	15641	Private
Jolie Hair and Beauty Academy-Northfield	Northfield	13787	Private
Hays Academy of Hair Design	Salina	9769	Private
Bellus Academy	Manhattan	22242	Private
Cortiva Institute-Seattle	Federal Way	20884	Private
MotoRing Technical Training Institute	East Providence	15922	Private
Leon Studio One School of Hair Design & Career Training Center	North Tonawanda	23719	Private
Columbia College	Centreville	6318	Private
Unitek College	Hayward		Private
ITT Technical Institute-Philadelphia	Philadelphia	22753	Private
ITT Technical Institute-Marlton	Marlton	22770	Private
ITT Technical Institute-Germantown	Greenfield		Private
ITT Technical Institute-Southfield	Troy		Private
ITT Technical Institute-West Palm Beach	West Palm Beach	23699	Private
ITT Technical Institute-Salem	Salem	23288	Private
ITT Technical Institute-Deerfield Beach	Fort Lauderdale		Private
ITT Technical Institute-Indianapolis East	Indianapolis	24561	Private
ITT Technical Institute-Douglasville	Douglasville	23666	Private
ITT Technical Institute-Overland Park	Overland Park	24426	Private
ITT Technical Institute-Springfield	Springfield	23619	Private
ITT Technical Institute-West Chester	Norwood		Private
Pennsylvania State University-World Campus	University Park	22264	Public
Medical Career Institute	Ocean	6485	Private
Advance Beauty Techs Academy	San Jacinto	12987	Private
Montage Academy	Longmont	15286	Private
Brand College	Glendale		Private
Hinton Barber and Beauty College	Vallejo	9170	Private
Advanced Career Institute	Visalia	12471	Private
Digital Film Academy	New York	20118	Private
MyComputerCareer.com-Raleigh	Raleigh	29617	Private
Kaplan University-Augusta Campus	Augusta	15487	Private
South University-Austin	Austin	28001	Private
South University-Cleveland	Cleveland	23567	Private
Bryant & Stratton College-Online	Orchard Park	13253	Private
Virginia College-Florence	Florence	15339	Private
Ogle School Hair Skin Nails-San Antonio	San Antonio	22487	Private
Elizabethtown College School of Continuing and Professional Studies	Elizabethtown		Private
Fortis College-Cutler Bay	Cutler Bay	15869	Private
Ideal Beauty Academy	Louisville	12272	Private
Minnesota School of Cosmetology-Plymouth Campus	Plymouth	14483	Private
Mercyhurst University-North East Campus	North East	13448	Private
Warner Pacific College Adult Degree Program	Portland	19538	Private
Platt College-Riverside	Riverside	30410	Private
Savannah Law School	Savannah		Private
Empire Beauty School-Glen Burnie	Glen Burnie	13395	Private
Everest College-Woodbridge	Woodbridge	25097	Private
Everest College-Kansas City	Kansas City	24325	Private
International School of Cosmetology-Toni & Guy Hairdressing Academy	Scottsdale	14761	Private
InterCoast Career Institute-Salem	Salem	27434	Private
American National University-Canton	Canton	18731	Private
Vatterott College-Fairview Heights	Fairview Heights	18868	Private
Ross Medical Education Center-Dayton	Dayton	18216	Private
Ross Medical Education Center-Ontario	Ontario	17817	Private
Ross Medical Education Center-Bowling Green	Bowling Green	18661	Private
Florida Institute of Technology-Online	Melbourne		Private
Rasmussen College-Kansas	Topeka	17889	Private
Columbia Institute	Silver Spring	7145	Private
School of Missionary Aviation Technology	Ionia	14246	Private
Ace Cosmetology and Barber Training Center	Wolcott	9942	Private
Manthano Christian College	Westland		Private
California Miramar University	San Diego		Private
Rocky Vista University	Parker		Private
Virginia College-Greensboro	Greensboro	15220	Private
The College of Health Care Professions-Dallas	Dallas	23538	Private
The College of Health Care Professions-Fort Worth	Fort Worth	23139	Private
Shear Finesse Hairstyling Academy	Jacksonville	15558	Private
Academy of Salon Professionals	Sedalia	6578	Private
CyberTex Institute of Technology	Austin	14310	Private
UEI College-Santa Cruz	Santa Cruz		Private
New England Tractor Trailer Training School of CT-Bridgeport	Bridgeport	8801	Private
Gemini School of Visual Arts & Communication	Cedar Park	25838	Private
Designer Barber & Stylist School	Ft Smith	11640	Private
Paul Mitchell the School-Woodbridge	Woodbridge	13444	Private
College of the Muscogee Nation	Okmulgee		Private
The Salon Professional Academy-Huntsville	Huntsville	11918	Private
Midwives College of Utah	Salt Lake City	16044	Private
Aspen Beauty Academy of Laurel	Laurel	11147	Private
M T Training Center	Grand Prairie	9304	Private
Berks Career & Technology Center	Leesport	15580	Public
Future Generations Graduate School	Franklin		Private
Carthage R9 School District-Carthage Technical Center	Carthage	12876	Public
Grace Mission University	Fullerton	14961	Private
PCCTI IT and Healthcare	Oak Brook		Private
Sotheby's Institute of Art-NY	New York		Private
Top Nails & Hair Beauty School	Taylorsville	10670	Private
Radians College	Washington	29882	Private
Santa Ana Beauty College	Santa Ana		Private
Shepherds College	Union Grove	21278	Private
Woodruff Medical Training and Testing	Tucker	16366	Private
Helms College	Macon	13337	Private
American Academy of Personal Training	New York	11215	Private
Ukiah Adult School	Ukiah	13055	Public
Riverside County Office of Education	Riverside	6293	Public
Institute of Health Sciences	Hunt Valley	22998	Private
Mid-South Christian College	Memphis	11916	Private
Advanced Computing Institute	Los Angeles	17246	Private
New York Institute of Beauty	Islandia	15291	Private
Ultrasound Medical Institute	Royal Palm Beach	20427	Private
Beautiful You School of Nail Technology	Cedar City	4218	Private
Harmon's Beauty School	Landover	10229	Private
Xavier College School of Nursing	Stockton		Private
Lawrence & Company College of Cosmetology	Hanford	9378	Private
Cactus Academy	Garden City	18340	Private
Kaizen Beauty Academy	Pembroke Pines	10997	Private
Southern Texas Careers Academy	McAllen	10641	Private
Sharp Edgez Barber Institute	Rochester	7613	Private
The Salon Professional Academy-Nashville	Nashville	10736	Private
Cosmotech School of Cosmetology	Westbrook	11101	Private
Prestige Health & Beauty Sciences Academy	North Miami Beach	21048	Private
Grace College of Barbering	Greenville	13909	Private
California Career Institute	Garden Grove	24343	Private
Cosmo Factory Cosmetology Academy	Santa Cruz	14673	Private
Grace School of Theology	Conroe		Private
Yeshiva Gedolah Kesser Torah	Monsey	18667	Private
Universal Training Institute	Perth Amboy	16019	Private
Yeshiva Yesodei Hatorah	Lakewood	9156	Private
Rizzieri Institute	Voorhees	9520	Private
Bonnie Joseph Academy of Cosmetology and Barbering	Heber City	12923	Private
Healthcare Training Institute	Kenner	15501	Private
W Academy of Salon and Spa	Danville	23020	Private
Boca Beauty Academy	Boca Raton	17424	Private
United Medical and Business Institute	East Point	15758	Private
Paul Mitchell the School-Jersey Shore	Brick	16788	Private
City Pointe Beauty Academy	Webb City	10743	Private
The Chrysm Insitute of Esthetics	Virginia Beach	21189	Private
National Personal Training Institute of Columbus	Columbus		Private
Bly's School of Cosmetology	Gainesville	9528	Private
Toni & Guy Hairdressing Academy-Manteca	Manteca	14168	Private
Belle Academy of Cosmetology	Waterbury	7159	Private
Dorsey Business Schools-Lansing	Lansing	26487	Private
ITT Technical Institute-Pensacola	Pensacola	24515	Private
ITT Technical Institute-San Antonio East	San Antonio	23434	Private
MedTech Institute-Orlando Campus	Orlando	15054	Private
Tulsa Welding School-Tulsa	Tulsa	15212	Private
Empire Beauty School-Augusta	Augusta	13874	Private
South University-High Point	High Point	25097	Private
Empire Beauty School-Vernon Hills	Vernon Hills	13387	Private
Empire Beauty School-Stone Park	Stone Park	13788	Private
Court Reporting Institute of St Louis	Clayton	20810	Private
Ohio Business College-Dayton	Dayton	2043	Private
Empire Beauty School-Rochester	Rochester	14118	Private
American Career College-Long Beach	Long Beach	20933	Private
Ross Medical Education Center-Kokomo	Kokomo	19085	Private
Ross Medical Education Center-Erlanger	Erlanger	19623	Private
Ross Medical Education Center-Charleston	Charleston	20002	Private
L'Ecole Culinaire-Kansas City	Kansas City	20545	Private
Utah College of Massage Therapy-Houston	Houston	19196	Private
InterCoast Colleges-Fairfield	Fairfield	23534	Private
Vatterott College-ex'treme Institute by Nelly-St Louis	St. Louis	16644	Private
Southern Careers Institute-San Antonio	San Antonio	26558	Private
College of Business and Technology-Miami Gardens	Miami Gardens	25061	Private
Milan Institute of Cosmetology-Nampa	Nampa	11866	Private
Milan Institute-Merced	Merced	15383	Private
Midwest Technical Institute-Springfield	Springfield	17958	Private
Finger Lakes School of Massage	Frederick	10771	Private
Augusta University	Augusta	8042	Public
Middle Georgia State University	Macon	9603	Public
Trenz Beauty Academy	Calumet	8631	Private
Paul Mitchell the School-Denver	Lakewood	11851	Private
Academy of Interactive Entertainment	Seattle	14871	Private
Arrojo Cosmetology School	New York	13288	Private
Cosmetology Academy of Texarkana	Texarkana	7835	Private
Virginia Baptist College	Fredericksburg	6676	Private
Lynnes Welding Training	Fargo	13827	Private
Aviation Institute of Maintenance-Las Vegas	Las Vegas	25342	Private
Tulsa Technology Center-Owasso Campus	Owasso	10807	Public
Tulsa Technology Center-Sand Springs Campus	Sand Springs	3443	Public
National American University-Austin South	Austin		Private
National American University-Lewisville	Lewisville		Private
National American University-Georgetown	Georgetown	21247	Private
National American University-Richardson	Richardson		Private
National American University-Rochester	Rochester		Private
National American University-Weldon Spring	Weldon Spring		Private
National American University-Wichita West	Wichita		Private
National American University-Indianapolis	Indianapolis		Private
National American University-Tigard	Tigard		Private
The Art Institute of St Louis	St Charles	19307	Private
DeVry College of New York	New York	25114	Private
DeVry University-Arizona	Phoenix	25028	Private
DeVry University-California	Pomona	23106	Private
DeVry University-Colorado	Westminster	28232	Private
DeVry University-Florida	Miramar	24110	Private
DeVry University-Georgia	Decatur	25394	Private
DeVry University-Illinois	Chicago	24823	Private
DeVry University-Indiana	Merrillville	23831	Private
DeVry University-Maryland	Bethesda	28993	Private
DeVry University-Michigan	Southfield	24596	Private
DeVry University-Minnesota	Edina	25797	Private
DeVry University-Missouri	Kansas City	24550	Private
DeVry University-Nevada	Henderson	25565	Private
DeVry University-New Jersey	North Brunswick	20616	Private
DeVry University-North Carolina	Charlotte	27939	Private
DeVry University-Ohio	Columbus	22814	Private
DeVry University-Oklahoma	Oklahoma City	24413	Private
DeVry University-Oregon	Portland		Private
DeVry University-Pennsylvania	Fort Washington	25583	Private
DeVry University-Tennessee	Nashville	27468	Private
DeVry University-Texas	Irving	26208	Private
DeVry University-Utah	Sandy		Private
DeVry University-Virginia	Arlington	26034	Private
DeVry University-Washington	Federal Way	26863	Private
DeVry University-Wisconsin	Milwaukee	30634	Private
University of North Georgia	Dahlonega	10182	Public
South Georgia State College	Douglas	7545	Public
Northeastern University Global Network	Boston		Private
Brown Mackie College-Dallas	Bedford	19583	Private
American Institute-Toms River	Toms River	14163	Private
Alamo City Barber College	San Antonio	12206	Private
Arizona College-Mesa	Mesa	20110	Private
American College of Healthcare	Huntington Park	13641	Private
Central Georgia Technical College	Warner Robins	3444	Public
Barber School of Pittsburgh	Pittsburgh	11569	Private
The Salon Professional Academy-South Plainfield	South Plainfield	15629	Private
Arizona State University-Skysong	Scottsdale	13773	Public
Louisiana Delta Community College	Monroe	16519	Public
Fab School	Rancho Cucamonga	29911	Private
Networks Barber College	Calumet City	14620	Private
JB's Hair Design and Barber College	Oklahoma City	8373	Private
Graduate School USA	Washington		Private
Virginia College-Lubbock	Lubbock		Private
Paul Mitchell the School-Lombard	Lombard	13865	Private
Paul Mitchell the School-Greenville	Greenville	11812	Private
Divine Crown Academy of Cosmetology	Harrisburg	16892	Private
Delta College of Arts & Technology-Lafayette Campus	Lafayette	17528	Private
Delta College-Slidell Campus	Slidell	17243	Private
Integrity College of Health	Pasadena	19109	Private
Electrical Training Center	Copiague		Private
Alexander Paul Institute of Hair Design	Greenville	7085	Private
Computer Training Academy	Riverside		Private
More Tech Institute	Hialeah	19951	Private
Dorsey Business Schools-Dearborn	Detroit	26888	Private
NeeCee's College of Cosmetology	Abilene	12961	Private
Ridley-Lowell Business & Technical Institute	West Warwick	18563	Private
Sutter Beauty College	Yuba City	8465	Private
Midwest Technical Institute	Brownsburg	26701	Private
New Horizons Medical Institute	Norcross		Private
Ohio Institute of Allied Health	Huber Heights	23939	Private
Paul Mitchell the School-Ardmore	Ardmore	15084	Private
Beauty and Health Institute	Tampa	20351	Private
School for Allied Health Professionals	Arlington	13970	Private
Cosmix School of Makeup Artistry	Oakland Park	16811	Private
Access Careers	Hempstead		Private
River Valley Cosmetology Institute	Poteau	5510	Private
Luckes Beauty Academy	Newport  News		Private
Total Transformation Institute of Cosmetology	San Marcos	14189	Private
Vibe Barber College	Memphis	13819	Private
Champ's Barber School	Lancaster	15757	Private
Azure College	Miami Gardens		Private
Nunation School of Cosmetology	Birmingham	2598	Private
IGlobal University	Annandale		Private
East-West Healing Arts Institute	Madison		Private
National Personal Training Institute	Vienna		Private
Standard Healthcare Services-College of Nursing	Falls Church	20658	Private
Philadelphia Technician Training	Philadelphia	14771	Private
Grace International Beauty School	Flushing	10046	Private
Alliance Computing Solutions	Flushing		Private
InterAmerican Technical Institute	Miami		Private
Bay Area Medical Academy	San Francisco	9078	Private
Mind Body Institute	Nashville	12952	Private
Parisian Spa Institute	Jacksonville	12136	Private
Yechanlaz Instituto Vocacional	Miami	4457	Private
Creative Touch Cosmetology School	Waterloo	8309	Private
LaBarberia Institute of Hair	Mayfield Hts	11210	Private
Setting the Standard Barbering and Natural Hair Academy	Shreveport	8944	Private
Bos-Man's Barber College	Shreveport	15007	Private
Lawrence & Company College of Cosmetology	Selma	8127	Private
Healthcare Preparatory Institute	Las Vegas	26194	Private
Alabama College of Osteopathic Medicine	Dothan		Private
Morthland College	West Frankfort	17645	Private
High Desert Medical College	Lancaster	38338	Private
Paul Mitchell the School-Schenectady	Schenectady	15305	Private
Beyond Measure Barbering Institute	Mebane	10947	Private
Beauty Anatomy Institute of Cosmetology and Wellness	Pompano Beach	23048	Private
Barber Institute of Texas	Longview	16271	Private
Jupiter Beauty Academy	Boston		Private
MedQuest College	Louisville	20803	Private
First Coast Barber Academy	Jacksonville	47994	Private
Debutantes School of Cosmetology and Nail Technology	Dekalb	8391	Private
Excel Academies of Cosmetology-Troy	Troy		Private
Excel Academies of Cosmetology-Merrillville	Merrillville		Private
Excel Academies of Cosmetology	Lansing	9537	Private
Ricci's Academy of Cosmetology	Newtown	14100	Private
Yahweh Beauty Academy	Killeen	14426	Private
Excel Learning Center-San Antonio	San Antonio	6674	Private
Preparing People Barber Styling College	Dallas	9677	Private
Arizona School of Integrative Studies	Clarkdale	10400	Private
Lee Professional Institute	Fort Myers	11868	Private
Burnett International College	Boynton Beach	28284	Private
Park Place Premier Barber School	New Orleans	2704	Private
The Salon Professional Academy-San Jose	San Jose	23437	Private
Sterling Health Center	Dallas		Private
Knox Theological Seminary	Fort Lauderdale		Private
Montessori Education Institute of the Pacific Northwest	Bothell		Private
Jolie Health and Beauty Academy-Turnersville	Turnersville	13810	Private
Ross Medical Education Center-Owensboro	Owensboro	22027	Private
Ross Medical Education Center-Evansville	Evansville	20029	Private
Ross Medical Education Center-Johnson City	Johnson City	9209	Private
North-West College-Santa Ana	Santa Ana	18474	Private
North-West College-Long Beach	Long Beach	22084	Private
Branford Hall Career Institute-Amityville	Amityville		Private
Taylor Andrews Academy-Orem	Orem	10273	Private
University of Florida-Online	Gainesville		Private
Buchanan Beauty College-Pleasantview	Pleasant View	6460	Private
Ogle School Hair Skin Nails-Stafford	Stafford	16788	Private
University of Phoenix-Arizona	Tempe	14583	Private
University of Phoenix-Arkansas	Little Rock	17995	Private
University of Phoenix-California	Costa Mesa	18356	Private
University of Phoenix-Colorado	Lone Tree	19005	Private
University of Phoenix-Florida	Orlando	18173	Private
University of Phoenix-Georgia	Sandy Springs	17935	Private
University of Phoenix-Louisiana	Baton Rouge	17103	Private
University of Phoenix-Michigan	Southfield	19148	Private
University of Phoenix-Missouri	Saint Louis	19241	Private
University of Phoenix-Nevada	Las Vegas	18203	Private
University of Phoenix-North Carolina	Charlotte	17980	Private
University of Phoenix-Oklahoma	Oklahoma City	17093	Private
University of Phoenix-Tennessee	Nashville	17651	Private
University of Phoenix-Texas	Houston	19049	Private
University of Phoenix-Virginia	Glen Allen	17597	Private
University of Phoenix-Pennsylvania	Philadelphia	17655	Private
Merrillville Beauty College-Flawless Barber Academy	Cleveland	8338	Private
Tint School of Makeup & Cosmetology-Seattle	Seattle	13215	Private
Centro de Estudios Multidisciplinarios-Mayaguez	Mayaguez	6574	Private
Heritage College-Cleveland	Middleburg Heights		Private
Aveda Institute-Phoenix	Tempe	14755	Private
University of North Texas at Dallas	Dallas	3991	Public
BridgeValley Community & Technical College	South  Charleston		Private
Northwest College-Medford	Medford	11086	Private
Virginia College-Fort Pierce	Fort Pierce		Private
Houston Training Schools-Gessner	Houston	5039	Private
Empire Beauty School-Buffalo	Cheektowaga	16083	Private
Paul Mitchell the School-Toledo	Sylvania	10382	Private
MJ's Barber Academy	Dallas	16083	Private
Trine University-Arizona Regional Campus	Peoria		Private
Regency Beauty Institute-Gaithersburg	Gaithersburg	15922	Private
Georgia Military College	Milledgeville	8516	Public
New Horizons Medical Institute-Winder	Winder		Private
SAE Institute of Technology-Chicago	Chicago	16151	Private
Beau Monde College of Hair Design-Beau Monde Academy of Cosmetology	Portland		Private
Fayette Beauty Academy-Ritz Beauty Academy	Decatur	8784	Private
Fayette Beauty Academy-Ritz Beauty Academy	Morrow	9710	Private
Fountain of Youth Academy of Cosmetology	Mars		Private
Cosmopolitan Beauty and Tech School	Ellicott City	1897	Private
MCI Institute of Technology-Boca Raton	Boca Raton	9657	Private
California College San Diego	San Diego	23742	Private
West Coast University-Miami	Doral		Private
National American University-Houston	Houston	18754	Private
National American University-Harold D. Buckingham Graduate School	Austin		Private
All Beauty College	Kingman	9580	Private
Aparicio-Levy Technical College	Tampa		Private
Fred D. Learey Technical College	Tampa		Private
Hollywood Institute of Beauty Careers-West Palm Beach	West Palm Beach	17930	Private
Hollywood Institute of Beauty Careers-Casselberry	Casselberry	19279	Private
Coachella Valley Beauty College-Beaumont	Beaumont	7690	Private
Dewey University-Mayaguez	Mayaguez	8102	Private
Coastal Pines Technical College	Waycross	3770	Public
Troy University-Phenix City Campus	Phenix City		Private
Troy University-Montgomery Campus	Montgomery		Private
Troy University-Dothan Campus	Dothan		Private
Troy University-eTROY	Troy		Private
Troy University-Global Campus	Troy		Private
Arkansas College of Barbering and Hair Design	Little Rock		Private
Arkansas College of Barbering & Hair Design -  SWLR Campus	Little Rock		Private
Harding School of Theology	Memphis		Private
Career Academy of Hair Design-Siloam Springs	Siloam Springs		Private
Career Academy of Hair Design-Rogers	Rogers		Private
Career Academy of Hair Design-Fayetteville	Fayetteville		Private
Academy of Salon and Spa -	Tahlequah		Private
Alliant International University-Fresno	Fresno		Private
Alliant International University-Los Angeles	Alhambra		Private
Alliant International University-San Francisco	San Francisco		Private
Alliant International University-Irvine	Irvine		Private
Alliant International University-Sacramento	Sacramento		Private
Casa Loma College-Anaheim Campus	Anaheim		Private
Marinello School of Beauty-Bell	Bell		Private
Marinello School of Beauty-City of Industry	City of Industry		Private
Marinello School of Beauty-Paramount	Paramount		Private
Marinello School of Beauty-Huntington Beach	Huntington Beach		Private
Marinello School of Beauty-Layton	Layton		Private
Marinello School of Beauty-Ogden	Ogden		Private
Marinello School of Beauty-Murrieta	Murrieta		Private
Marinello School of Beauty-Napa	Napa		Private
Marinello School of Beauty-Seaside	Seaside		Private
Marinello School of Beauty-San Mateo	San Mateo		Private
Marinello School of Beauty-Hayward	Hayward		Private
Marinello School of Beauty-Castro Valley	Castro Valley		Private
Marinello School of Beauty-Palmdale	Palmdale		Private
Marinello School of Beauty-San Rafael	San Rafael		Private
San Jose Campus	San Jose		Private
Franciscan School of Theology	Oceanside		Private
Golden Gate University-Los Angeles	Los Angeles		Private
Golden Gate University-Seattle	Seattle		Private
Golden Gate University-Silicon Valley	Santa Clara		Private
Humphreys College-Modesto	Modesto		Private
International School of Cosmetology	Costa Mesa		Private
ATEP at IVC	Tustin		Private
Marinello School of Beauty-Whittier	Whittier		Private
Marinello School of Beauty-Reseda	Reseda		Private
Marinello School of Beauty-Ontario	Ontario		Private
Marinello School of Beauty-San Diego	San Diego		Private
Marinello School of Beauty-San Bernardino	San Bernardino		Private
Marinello School of Beauty-West Covina	West Covina		Private
Marinello School of Beauty-West Los Angeles	Los Angeles		Private
Marinello School of Beauty-Inglewood	Inglewood		Private
Marinello School of Beauty-El Cajon	El Cajon		Private
Marinello School of Beauty-Victorville	Victorville		Private
Marinello School of Beauty-Anaheim	Anaheim		Private
Marinello School of Beauty-Simi Valley	Simi Valley		Private
Marinello School of Beauty-Lomita	Lomita		Private
Marymount University - Waterfront Campus	San Pedro		Private
Marinello School of Beauty-Chico	Chico		Private
Marinello School of Beauty-Redding	Redding		Private
Marinello School of Beauty-Fresno	Fresno		Private
Mount Saint Mary's University - Doheny Campus	Los Angeles		Private
San Diego State University-Imperial Valley Campus	Calexico		Private
San Joaquin General Hospital School of Radiation Technology	French Camp		Private
San Joaquin Valley College - Hanford	Hanford		Private
San Joaquin Valley College-Online	Visalia		Private
San Joaquin Valley College-Bakersfield	Bakersfield		Private
San Joaquin Valley College-Fresno	Fresno		Private
San Joaquin Valley College-Fresno Aviation	Fresno		Private
San Joaquin Valley College-Ontario	Ontario		Private
San Joaquin Valley College-Modesto	Salida		Private
San Joaquin Valley College-Rancho Cordova	Rancho Cordova		Private
San Joaquin Valley College-Hesperia	Hesperia		Private
San Joaquin Valley College-Temecula	Temecula		Private
San Joaquin Valley College-Lancaster	Lancaster		Private
San Joaquin Valley College-San Diego	Chula Vista		Private
Jesuit School of Theology of Santa Clara University	Berkeley		Private
Pinnacle College-Sacramento	Rancho Cordova		Private
Marinello School of Beauty-Bakersfield	Bakersfield		Private
Marinello School of Beauty-Visalia	Visalia		Private
UEI College	Ontario		Private
UEI College	Encino		Private
UEI College	Chula Vista		Private
